_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
656,No,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 <= ... < 500 DM,< 1 year,4,male : single,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,No,Yes
657,Yes,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,753,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,guarantor,3,real estate,64,none,own,1,skilled employee / official,1,No,Yes
658,Yes,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2576,< 100 DM,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,35,none,own,1,skilled employee / official,1,No,No
659,Yes,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,590,< 100 DM,< 1 year,3,male : married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,No,No
660,Yes,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1414,< 100 DM,1 <= ... < 4 years,4,male : single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1,No,No
661,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1103,< 100 DM,4 <= ... < 7 years,4,male : single,guarantor,3,real estate,29,none,own,2,skilled employee / official,1,No,Yes
662,Yes,0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,585,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,No,Yes
663,Yes,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,< 100 DM,>= 7 years,4,male : single,none,4,car or other,28,none,own,1,skilled employee / official,2,No,Yes
664,Yes,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),713,< 100 DM,>= 7 years,4,male : single,none,4,real estate,47,none,own,2,unskilled - resident,1,No,Yes
665,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1092,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,Yes,Yes
666,Yes,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2329,< 100 DM,< 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,No,Yes
667,Yes,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,< 100 DM,< 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,No,Yes
668,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,866,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,No,Yes
669,Yes,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2415,< 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,No,Yes
670,Yes,0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,2101,< 100 DM,< 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,No,Yes
671,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1301,< 100 DM,>= 7 years,4,male : married/widowed,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,No,Yes
672,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1113,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,No,Yes
673,Yes,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,760,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,guarantor,2,real estate,44,none,own,1,unskilled - resident,1,No,Yes
674,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,625,< 100 DM,< 1 year,4,male : married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,No,Yes
675,Yes,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1323,100 <= ... < 500 DM,>= 7 years,2,male : divorced/separated,none,4,car or other,28,none,own,2,skilled employee / official,2,Yes,Yes
676,Yes,... < 0 DM,9,critical account/ other credits existing (not at this bank),radio/television,1138,< 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,25,none,own,2,unskilled - resident,1,No,Yes
677,Yes,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1795,< 100 DM,>= 7 years,3,female : divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,Yes,Yes
678,Yes,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4 <= ... < 7 years,4,male : single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,Yes,Yes
679,Yes,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,484,< 100 DM,4 <= ... < 7 years,3,male : married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,No,Yes
680,Yes,0 <= ... < 200 DM,10,all credits at this bank paid back duly,radio/television,1048,< 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,23,stores,own,1,unskilled - resident,1,No,Yes
681,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1155,< 100 DM,>= 7 years,3,male : married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,No,Yes
682,Yes,0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
683,Yes,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,>= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,Yes,Yes
684,Yes,... < 0 DM,12,existing credits paid back duly till now,radio/television,2214,< 100 DM,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,No,Yes
685,Yes,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,1585,< 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,No,Yes
686,Yes,0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,< 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,No,Yes
687,Yes,0 <= ... < 200 DM,36,all credits at this bank paid back duly,domestic appliances,3990,unknown/ no savings account,< 1 year,3,female : divorced/separated/married,none,2,unknown / no property,29,bank,own,1,unemployed/ unskilled - non-resident,1,No,Yes
688,Yes,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,< 100 DM,< 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,No,Yes
689,No,... < 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,No,Yes
690,Yes,no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,Yes,Yes
691,Yes,... < 0 DM,12,existing credits paid back duly till now,car (new),1168,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,27,none,own,1,unskilled - resident,1,No,Yes
692,Yes,0 <= ... < 200 DM,6,existing credits paid back duly till now,repairs,454,< 100 DM,< 1 year,3,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,No,Yes
693,Yes,no checking account,15,delay in paying off in the past,car (used),3594,< 100 DM,< 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,No,Yes
694,Yes,no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,< 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,No,Yes
695,Yes,no checking account,60,delay in paying off in the past,radio/television,15653,< 100 DM,4 <= ... < 7 years,2,male : single,none,4,car or other,21,none,own,2,skilled employee / official,1,Yes,Yes
696,Yes,... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee / official,1,Yes,Yes
697,Yes,no checking account,24,existing credits paid back duly till now,radio/television,1413,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,No,Yes
698,Yes,0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),car (used),4576,100 <= ... < 500 DM,unemployed,3,male : single,none,4,car or other,27,none,own,1,skilled employee / official,1,No,Yes
699,Yes,... < 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,1231,>= 1000 DM,>= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
700,No,... < 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,>= 7 years,3,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,No,Yes
701,Yes,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,< 100 DM,1 <= ... < 4 years,3,male : single,none,4,car or other,34,none,own,2,skilled employee / official,1,Yes,Yes
702,Yes,... < 0 DM,18,delay in paying off in the past,education,8471,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,23,none,rent,2,skilled employee / official,1,Yes,Yes
703,Yes,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3622,>= 1000 DM,>= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,skilled employee / official,1,Yes,Yes
704,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee / official,1,Yes,Yes
705,Yes,no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,Yes,Yes
706,Yes,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,>= 7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,No,Yes
707,Yes,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,No,Yes
708,No,... < 0 DM,48,all credits at this bank paid back duly,business,7685,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee / official,1,No,Yes
709,Yes,no checking account,48,critical account/ other credits existing (not at this bank),education,6110,< 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,Yes,Yes
710,Yes,no checking account,24,existing credits paid back duly till now,car (new),3757,< 100 DM,>= 7 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,62,none,for free,1,skilled employee / official,1,Yes,Yes
711,Yes,... < 0 DM,42,critical account/ other credits existing (not at this bank),repairs,3394,< 100 DM,unemployed,4,male : single,co-applicant,4,car or other,65,none,own,2,unemployed/ unskilled - non-resident,1,No,Yes
712,Yes,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,No,Yes
713,Yes,no checking account,9,critical account/ other credits existing (not at this bank),education,1244,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,41,none,rent,2,unskilled - resident,1,No,Yes
